TestNumber,Principal,Operation,Resource,Granted,Milliseconds
1742,Principal 0088,Operation 0006,Resource 0281,Y,0.0032
1743,Principal 0064,Operation 0006,Resource 7033,Y,0.0025
1744,Principal 0114,Operation 0010,Resource 12261,N,0.0006
1745,Principal 0046,Operation 0002,Resource 7955,Y,0.0019
1746,Principal 0100,Operation 0001,Resource 1218,N,0.0022
1747,Principal 0095,Operation 0011,Resource 13983,N,0.0006
1748,Principal 0067,Operation 0001,Resource 3144,Y,0.0022
1749,Principal 0106,Operation 0013,Resource 9121,N,0.0012
1750,Principal 0054,Operation 0009,Resource 5869,Y,0.0022
1751,Principal 0080,Operation 0005,Resource 1538,Y,0.0016
1752,Principal 0074,Operation 0013,Resource 7948,N,0.0009
1753,Principal 0057,Operation 0012,Resource 8702,N,0.0009
1754,Principal 0113,Operation 0014,Resource 13037,N,0.0003
1755,Principal 0122,Operation 0006,Resource 13956,N,0.0006
1756,Principal 0042,Operation 0013,Resource 1597,N,0.0009
1757,Principal 0147,Operation 0001,Resource 11488,N,0.0006
1758,Principal 0045,Operation 0001,Resource 6865,Y,0.0028
1759,Principal 0098,Operation 0005,Resource 11068,N,0.0006
1760,Principal 0007,Operation 0013,Resource 7658,N,0.0009
1761,Principal 0062,Operation 0001,Resource 11091,N,0.0006
1762,Principal 0012,Operation 0004,Resource 6100,Y,0.0019
1763,Principal 0107,Operation 0012,Resource 3619,N,0.0009
1764,Principal 0001,Operation 0005,Resource 3710,Y,0.0019
1765,Principal 0075,Operation 0013,Resource 11843,N,0.0006
1766,Principal 0010,Operation 0009,Resource 9189,Y,0.0019
1767,Principal 0042,Operation 0007,Resource 14644,N,0.0006
1768,Principal 0075,Operation 0006,Resource 8742,Y,0.0025
1769,Principal 0094,Operation 0004,Resource 3864,Y,0.0025
1770,Principal 0097,Operation 0012,Resource 8525,N,0.0009
1771,Principal 0118,Operation 0005,Resource 13653,N,0.0006
1772,Principal 0011,Operation 0005,Resource 13556,N,0.0006
1773,Principal 0020,Operation 0011,Resource 2956,N,0.0009
1774,Principal 0079,Operation 0008,Resource 1031,Y,0.0022
1775,Principal 0129,Operation 0014,Resource 11486,N,0.0006
1776,Principal 0078,Operation 0012,Resource 2346,N,0.0012
1777,Principal 0100,Operation 0009,Resource 10574,N,0.0012
1778,Principal 0019,Operation 0011,Resource 6727,N,0.0012
1779,Principal 0080,Operation 0013,Resource 10294,N,0.0006
1780,Principal 0024,Operation 0007,Resource 14818,N,0.0003
1781,Principal 0023,Operation 0001,Resource 14776,N,0.0003
1782,Principal 0101,Operation 0003,Resource 14207,N,0.0006
1783,Principal 0051,Operation 0007,Resource 7951,Y,0.0025
1784,Principal 0132,Operation 0014,Resource 13274,N,0.0006
1785,Principal 0062,Operation 0011,Resource 13043,N,0.0006
1786,Principal 0136,Operation 0009,Resource 5928,N,0.0025
1787,Principal 0122,Operation 0002,Resource 6577,N,0.0028
1788,Principal 0016,Operation 0014,Resource 3573,N,0.0012
1789,Principal 0129,Operation 0010,Resource 8642,N,0.0009
1790,Principal 0069,Operation 0008,Resource 6549,Y,0.0022
1791,Principal 0033,Operation 0014,Resource 4323,N,0.0009
1792,Principal 0032,Operation 0006,Resource 7359,Y,0.0016
1793,Principal 0013,Operation 0003,Resource 11612,N,0.0003
1794,Principal 0122,Operation 0003,Resource 5497,N,0.0028
1795,Principal 0094,Operation 0011,Resource 9918,N,0.0012
1796,Principal 0123,Operation 0010,Resource 0111,N,0.0012
1797,Principal 0087,Operation 0009,Resource 4090,Y,0.0028
1798,Principal 0044,Operation 0005,Resource 5180,Y,0.0022
1799,Principal 0082,Operation 0001,Resource 1400,Y,0.0025
1800,Principal 0112,Operation 0012,Resource 8130,N,0.0009
1801,Principal 0056,Operation 0013,Resource 13438,N,0.0003
1802,Principal 0014,Operation 0010,Resource 14402,N,0.0003
1803,Principal 0089,Operation 0003,Resource 5710,Y,0.0025
1804,Principal 0057,Operation 0012,Resource 6662,N,0.0012
1805,Principal 0093,Operation 0014,Resource 13882,N,0.0012
1806,Principal 0011,Operation 0007,Resource 2916,Y,0.0019
1807,Principal 0086,Operation 0001,Resource 14352,N,0.0003
1808,Principal 0085,Operation 0013,Resource 13631,N,0.0003
1809,Principal 0025,Operation 0013,Resource 9504,N,0.0009
1810,Principal 0141,Operation 0010,Resource 4904,N,0.0012
1811,Principal 0060,Operation 0005,Resource 5743,Y,0.0022
1812,Principal 0035,Operation 0007,Resource 4590,Y,0.0022
1813,Principal 0071,Operation 0008,Resource 1709,Y,0.0022
1814,Principal 0105,Operation 0004,Resource 7552,N,0.0025
1815,Principal 0094,Operation 0003,Resource 12040,N,0.0006
1816,Principal 0124,Operation 0010,Resource 5116,N,0.0012
1817,Principal 0063,Operation 0007,Resource 8594,Y,0.0022
1818,Principal 0134,Operation 0003,Resource 11489,N,0.0003
1819,Principal 0088,Operation 0012,Resource 14888,N,0.0006
1820,Principal 0148,Operation 0014,Resource 11131,N,0.0006
1821,Principal 0049,Operation 0010,Resource 8200,N,0.0009
1822,Principal 0009,Operation 0014,Resource 7308,N,0.0009
1823,Principal 0010,Operation 0006,Resource 8264,Y,0.0016
1824,Principal 0093,Operation 0009,Resource 14132,N,0.0006
1825,Principal 0012,Operation 0013,Resource 12305,N,0.0003
1826,Principal 0068,Operation 0014,Resource 10243,N,0.0003
1827,Principal 0016,Operation 0005,Resource 3844,Y,0.0022
1828,Principal 0044,Operation 0008,Resource 2734,Y,0.0022
1829,Principal 0113,Operation 0007,Resource 2503,N,0.0025
1830,Principal 0092,Operation 0010,Resource 9679,N,0.0009
1831,Principal 0047,Operation 0007,Resource 9047,Y,0.0019
1832,Principal 0056,Operation 0006,Resource 8538,Y,0.0019
1833,Principal 0143,Operation 0009,Resource 3274,N,0.0028
1834,Principal 0048,Operation 0011,Resource 4218,N,0.0009
1835,Principal 0118,Operation 0012,Resource 13140,N,0.0003
1836,Principal 0094,Operation 0012,Resource 4408,N,0.0009
1837,Principal 0141,Operation 0002,Resource 12904,N,0.0006
1838,Principal 0047,Operation 0013,Resource 8914,N,0.0009
1839,Principal 0073,Operation 0001,Resource 1966,Y,0.0025
1840,Principal 0055,Operation 0005,Resource 7250,Y,0.0019
1841,Principal 0048,Operation 0007,Resource 11128,N,0.0003
1842,Principal 0135,Operation 0005,Resource 1770,N,0.0025
1843,Principal 0051,Operation 0010,Resource 7524,N,0.0006
1844,Principal 0038,Operation 0007,Resource 5535,Y,0.0022
1845,Principal 0070,Operation 0012,Resource 8521,N,0.0012
1846,Principal 0146,Operation 0008,Resource 10838,N,0.0006
1847,Principal 0046,Operation 0002,Resource 10200,N,0.0006
1848,Principal 0131,Operation 0010,Resource 7727,N,0.0012
1849,Principal 0117,Operation 0001,Resource 9036,N,0.0028
1850,Principal 0002,Operation 0013,Resource 5106,N,0.0009
1851,Principal 0066,Operation 0009,Resource 4100,Y,0.0022
1852,Principal 0110,Operation 0014,Resource 4844,N,0.0009
1853,Principal 0081,Operation 0013,Resource 7416,N,0.0012
1854,Principal 0113,Operation 0005,Resource 1647,N,0.0028
1855,Principal 0119,Operation 0010,Resource 9529,N,0.0009
1856,Principal 0074,Operation 0012,Resource 1357,N,0.0019
1857,Principal 0004,Operation 0008,Resource 7972,Y,0.0019
1858,Principal 0061,Operation 0001,Resource 2648,Y,0.0025
1859,Principal 0120,Operation 0007,Resource 11597,N,0.0006
1860,Principal 0034,Operation 0002,Resource 4535,Y,0.0019
1861,Principal 0077,Operation 0005,Resource 12338,N,0.0006
1862,Principal 0025,Operation 0012,Resource 13562,N,0.0006
1863,Principal 0015,Operation 0011,Resource 11932,N,0.0006
1864,Principal 0037,Operation 0007,Resource 9272,Y,0.0022
1865,Principal 0035,Operation 0008,Resource 12471,N,0.0006
1866,Principal 0085,Operation 0002,Resource 14651,N,0.0006
1867,Principal 0132,Operation 0005,Resource 2380,N,0.0028
1868,Principal 0077,Operation 0014,Resource 5631,N,0.0012
1869,Principal 0121,Operation 0001,Resource 8013,N,0.0028
1870,Principal 0015,Operation 0014,Resource 8215,N,0.0016
1871,Principal 0082,Operation 0005,Resource 11456,N,0.0003
1872,Principal 0029,Operation 0004,Resource 14426,N,0.0003
1873,Principal 0043,Operation 0009,Resource 13222,N,0.0006
1874,Principal 0109,Operation 0006,Resource 1731,N,0.0032
1875,Principal 0044,Operation 0011,Resource 1122,N,0.0009
1876,Principal 0137,Operation 0003,Resource 7650,N,0.0022
1877,Principal 0052,Operation 0004,Resource 5501,Y,0.0016
1878,Principal 0119,Operation 0005,Resource 12404,N,0.0003
1879,Principal 0022,Operation 0001,Resource 5209,Y,0.0022
1880,Principal 0067,Operation 0005,Resource 11749,N,0.0006
1881,Principal 0056,Operation 0014,Resource 11972,N,0.0006
1882,Principal 0037,Operation 0010,Resource 1851,N,0.0009
1883,Principal 0128,Operation 0001,Resource 4587,N,0.0022
1884,Principal 0130,Operation 0004,Resource 6746,N,0.0028
1885,Principal 0015,Operation 0003,Resource 13471,N,0.0006
1886,Principal 0007,Operation 0004,Resource 3026,Y,0.0019
1887,Principal 0045,Operation 0013,Resource 12741,N,0.0006
1888,Principal 0004,Operation 0011,Resource 10476,N,0.0006
1889,Principal 0027,Operation 0011,Resource 14484,N,0.0003
1890,Principal 0140,Operation 0001,Resource 3582,N,0.0025
1891,Principal 0092,Operation 0012,Resource 4180,N,0.0012
1892,Principal 0015,Operation 0006,Resource 5951,Y,0.0022
1893,Principal 0048,Operation 0001,Resource 1286,Y,0.0019
1894,Principal 0142,Operation 0001,Resource 2162,N,0.0028
1895,Principal 0031,Operation 0007,Resource 14252,N,0.0003
1896,Principal 0137,Operation 0010,Resource 2971,N,0.0012
1897,Principal 0139,Operation 0002,Resource 11799,N,0.0006
1898,Principal 0022,Operation 0003,Resource 6853,Y,0.0051
1899,Principal 0140,Operation 0005,Resource 3709,N,0.0032
1900,Principal 0015,Operation 0001,Resource 14129,N,0.0006
1901,Principal 0024,Operation 0013,Resource 14816,N,0.0006
1902,Principal 0010,Operation 0004,Resource 6643,Y,0.0019
1903,Principal 0026,Operation 0014,Resource 11815,N,0.0003
1904,Principal 0075,Operation 0011,Resource 2550,N,0.0012
1905,Principal 0018,Operation 0005,Resource 12548,N,0.0003
1906,Principal 0106,Operation 0012,Resource 4142,N,0.0009
1907,Principal 0112,Operation 0004,Resource 0784,N,0.0032
1908,Principal 0115,Operation 0001,Resource 14218,N,0.0006
1909,Principal 0068,Operation 0007,Resource 10403,N,0.0006
1910,Principal 0123,Operation 0003,Resource 0231,N,0.0032
1911,Principal 0023,Operation 0004,Resource 14701,N,0.0006
1912,Principal 0022,Operation 0012,Resource 2121,N,0.0009
1913,Principal 0024,Operation 0002,Resource 3306,Y,0.0022
1914,Principal 0076,Operation 0011,Resource 10561,N,0.0006
1915,Principal 0062,Operation 0006,Resource 5615,Y,0.0022
1916,Principal 0092,Operation 0001,Resource 11960,N,0.0006
1917,Principal 0093,Operation 0004,Resource 7885,Y,0.0028
1918,Principal 0145,Operation 0005,Resource 12044,N,0.0006
1919,Principal 0133,Operation 0006,Resource 13644,N,0.0006
1920,Principal 0006,Operation 0009,Resource 11793,N,0.0003
1921,Principal 0112,Operation 0005,Resource 12490,N,0.0003
1922,Principal 0116,Operation 0005,Resource 7630,N,0.0028
1923,Principal 0029,Operation 0014,Resource 8334,N,0.0012
1924,Principal 0104,Operation 0008,Resource 10243,N,0.0003
1925,Principal 0009,Operation 0004,Resource 7772,Y,0.0019
1926,Principal 0052,Operation 0006,Resource 8708,Y,0.0022
1927,Principal 0086,Operation 0012,Resource 6591,N,0.0012
1928,Principal 0134,Operation 0003,Resource 14037,N,0.0003
1929,Principal 0073,Operation 0003,Resource 12988,N,0.0003
1930,Principal 0027,Operation 0004,Resource 6051,Y,0.0019
1931,Principal 0035,Operation 0002,Resource 7834,Y,0.0019
1932,Principal 0065,Operation 0011,Resource 5949,N,0.0009
1933,Principal 0130,Operation 0009,Resource 1133,N,0.0032
1934,Principal 0129,Operation 0006,Resource 0859,N,0.0028
1935,Principal 0037,Operation 0013,Resource 10193,N,0.0003
1936,Principal 0126,Operation 0013,Resource 1660,N,0.0012
1937,Principal 0043,Operation 0008,Resource 0495,Y,0.0022
1938,Principal 0050,Operation 0007,Resource 11691,N,0.0003
1939,Principal 0052,Operation 0012,Resource 2217,N,0.0009
1940,Principal 0134,Operation 0004,Resource 2604,N,0.0028
1941,Principal 0096,Operation 0001,Resource 10774,N,0.0006
1942,Principal 0023,Operation 0007,Resource 6487,Y,0.0022
1943,Principal 0024,Operation 0009,Resource 7244,Y,0.0019
1944,Principal 0019,Operation 0007,Resource 10788,N,0.0006
1945,Principal 0076,Operation 0010,Resource 6131,N,0.0012
1946,Principal 0057,Operation 0010,Resource 4146,N,0.0012
1947,Principal 0039,Operation 0010,Resource 3945,N,0.0012
1948,Principal 0113,Operation 0013,Resource 10687,N,0.0003
1949,Principal 0056,Operation 0013,Resource 9753,N,0.0009
1950,Principal 0111,Operation 0002,Resource 13571,N,0.0006
1951,Principal 0038,Operation 0014,Resource 5331,N,0.0012
1952,Principal 0135,Operation 0004,Resource 6211,N,0.0028
1953,Principal 0051,Operation 0002,Resource 6926,Y,0.0019
1954,Principal 0037,Operation 0010,Resource 4408,N,0.0006
1955,Principal 0094,Operation 0003,Resource 0972,Y,0.0028
1956,Principal 0047,Operation 0012,Resource 11376,N,0.0003
1957,Principal 0056,Operation 0014,Resource 2983,N,0.0012
1958,Principal 0130,Operation 0009,Resource 9534,N,0.0028
1959,Principal 0136,Operation 0013,Resource 1806,N,0.0009
1960,Principal 0001,Operation 0011,Resource 8412,N,0.0009
1961,Principal 0117,Operation 0006,Resource 8013,N,0.0028
1962,Principal 0087,Operation 0013,Resource 7532,N,0.0009
1963,Principal 0055,Operation 0009,Resource 7274,Y,0.0022
1964,Principal 0149,Operation 0001,Resource 8472,N,0.0032
1965,Principal 0122,Operation 0001,Resource 14472,N,0.0003
1966,Principal 0145,Operation 0002,Resource 10935,N,0.0003
1967,Principal 0097,Operation 0001,Resource 1178,Y,0.0025
1968,Principal 0133,Operation 0006,Resource 1840,N,0.0025
1969,Principal 0106,Operation 0006,Resource 5011,N,0.0025
1970,Principal 0108,Operation 0014,Resource 5031,N,0.0012
1971,Principal 0044,Operation 0005,Resource 4616,Y,0.0019
1972,Principal 0135,Operation 0007,Resource 3966,N,0.0025
1973,Principal 0114,Operation 0001,Resource 4359,N,0.0032
1974,Principal 0084,Operation 0014,Resource 3316,N,0.0012
1975,Principal 0041,Operation 0006,Resource 13824,N,0.0006
1976,Principal 0095,Operation 0001,Resource 9470,Y,0.0028
1977,Principal 0100,Operation 0014,Resource 11401,N,0.0006
1978,Principal 0059,Operation 0006,Resource 10879,N,0.0006
1979,Principal 0072,Operation 0013,Resource 0684,N,0.0016
1980,Principal 0062,Operation 0013,Resource 7430,N,0.0012
1981,Principal 0026,Operation 0010,Resource 9177,N,0.0012
1982,Principal 0023,Operation 0010,Resource 10648,N,0.0006
1983,Principal 0039,Operation 0013,Resource 8166,N,0.0016
1984,Principal 0105,Operation 0003,Resource 1168,N,0.0028
1985,Principal 0066,Operation 0002,Resource 1600,Y,0.0025
1986,Principal 0128,Operation 0009,Resource 14944,N,0.0006
1987,Principal 0030,Operation 0002,Resource 4810,Y,0.0022
1988,Principal 0105,Operation 0001,Resource 0747,N,0.0022
1989,Principal 0086,Operation 0013,Resource 14628,N,0.0006
1990,Principal 0087,Operation 0006,Resource 8615,Y,0.0022
1991,Principal 0033,Operation 0005,Resource 2663,Y,0.0022
1992,Principal 0119,Operation 0006,Resource 4590,N,0.0028
1993,Principal 0091,Operation 0002,Resource 10123,N,0.0003
1994,Principal 0032,Operation 0006,Resource 2146,Y,0.0019
1995,Principal 0013,Operation 0014,Resource 10981,N,0.0003
1996,Principal 0102,Operation 0014,Resource 4094,N,0.0028
1997,Principal 0093,Operation 0009,Resource 4082,Y,0.0028
1998,Principal 0008,Operation 0003,Resource 12004,N,0.0006
1999,Principal 0027,Operation 0007,Resource 8924,Y,0.0022
2000,Principal 0084,Operation 0009,Resource 11983,N,0.0003
2001,Principal 0110,Operation 0010,Resource 7427,N,0.0009
2002,Principal 0145,Operation 0007,Resource 12919,N,0.0006
2003,Principal 0135,Operation 0010,Resource 10357,N,0.0003
2004,Principal 0120,Operation 0004,Resource 7417,N,0.0028
2005,Principal 0048,Operation 0014,Resource 10424,N,0.0006
2006,Principal 0027,Operation 0009,Resource 1182,Y,0.0019
2007,Principal 0048,Operation 0013,Resource 14238,N,0.0003
2008,Principal 0105,Operation 0014,Resource 11905,N,0.0003
2009,Principal 0046,Operation 0003,Resource 2065,Y,0.0025
2010,Principal 0057,Operation 0009,Resource 13939,N,0.0006
2011,Principal 0106,Operation 0001,Resource 8244,N,0.0028
2012,Principal 0131,Operation 0007,Resource 10535,N,0.0003
2013,Principal 0097,Operation 0002,Resource 7328,Y,0.0025
2014,Principal 0130,Operation 0011,Resource 4649,N,0.0012
2015,Principal 0087,Operation 0012,Resource 5652,N,0.0012
2016,Principal 0116,Operation 0011,Resource 3318,N,0.0009
2017,Principal 0016,Operation 0014,Resource 12741,N,0.0006
2018,Principal 0077,Operation 0004,Resource 10219,N,0.0006
2019,Principal 0127,Operation 0001,Resource 10661,N,0.0006
2020,Principal 0105,Operation 0010,Resource 4683,N,0.0009
2021,Principal 0108,Operation 0008,Resource 0339,N,0.0032
2022,Principal 0114,Operation 0002,Resource 3014,N,0.0028
2023,Principal 0141,Operation 0007,Resource 7683,N,0.0025
2024,Principal 0148,Operation 0008,Resource 7484,N,0.0048
2025,Principal 0088,Operation 0007,Resource 1668,Y,0.0022
2026,Principal 0096,Operation 0002,Resource 2189,Y,0.0025
2027,Principal 0063,Operation 0008,Resource 6625,Y,0.0025
2028,Principal 0137,Operation 0004,Resource 9352,N,0.0028
2029,Principal 0012,Operation 0003,Resource 12042,N,0.0003
2030,Principal 0130,Operation 0001,Resource 6672,N,0.0025
2031,Principal 0148,Operation 0014,Resource 6737,N,0.0012
2032,Principal 0027,Operation 0003,Resource 3882,Y,0.0019
2033,Principal 0043,Operation 0012,Resource 10924,N,0.0025
2034,Principal 0027,Operation 0012,Resource 4236,N,0.0012
2035,Principal 0106,Operation 0002,Resource 7012,N,0.0035
2036,Principal 0053,Operation 0013,Resource 11963,N,0.0003
2037,Principal 0085,Operation 0003,Resource 13687,N,0.0006
2038,Principal 0085,Operation 0004,Resource 2148,Y,0.006
2039,Principal 0130,Operation 0012,Resource 3769,N,0.0006
2040,Principal 0060,Operation 0010,Resource 13422,N,0.0006
2041,Principal 0060,Operation 0002,Resource 6287,Y,0.0025
2042,Principal 0011,Operation 0001,Resource 8747,Y,0.0016
2043,Principal 0008,Operation 0006,Resource 4496,Y,0.0022
2044,Principal 0128,Operation 0005,Resource 4478,N,0.0032
2045,Principal 0063,Operation 0004,Resource 10379,N,0.0006
2046,Principal 0024,Operation 0003,Resource 2388,Y,0.0022
2047,Principal 0024,Operation 0011,Resource 4034,N,0.0032
2048,Principal 0001,Operation 0005,Resource 12239,N,0.0006
2049,Principal 0080,Operation 0006,Resource 9931,Y,0.0025
2050,Principal 0046,Operation 0005,Resource 5100,Y,0.0025
2051,Principal 0002,Operation 0013,Resource 2100,N,0.0009
2052,Principal 0125,Operation 0011,Resource 11341,N,0.0006
2053,Principal 0129,Operation 0009,Resource 1677,N,0.0032
